Unix time,low,high,open,close,volume
1632352320,521.73,521.73,521.73,521.73,0.09859621632356520,546.73,546.73,546.73,546.73,0.001
1632358200,2996.78,3000,3000,2996.78,0.01233333
1632358260,1000,1000,1000,1000,0.99
1632358380,2838.9,3120,2838.9,3120,3.67196013
1632377460,5500,5500,5500,5500,0.1
1632377520,6100,6100,6100,6100,0.1
1632377880,6700,6700,6700,6700,0.1
1632378180,6231,7040,6231,7040,0.07766938
1632378240,7040,7040,7040,7040,0.02433062
1632384420,7500,8800,7500,8800,0.101
1632404820,11000,11440,11000,11440,3010.49345508
1632404880,15705,20231.14,15705,20231.14,10000.233
1632404940,26999,31320,26999,31320,0.2049652
1632405000,34560,42120,34560,42120,1.08856084
1632405060,43100,43200,43100,43100,0.02418221
1632405120,43200,44055.91,43200,44055.89,2.31597652
1632405180,44056.43,44280,44280,44056.45,0.01344021
1632405240,44056.43,44300,44056.43,44300,0.25102633
1632405300,44132.48,44132.5,44132.48,44132.5,0.00045277
1632405360,44106.59,44300,44132.48,44142.55,0.00328078
1632405420,44109.81,44300,44142.53,44300,0.00226251
1632405540,44080.18,44300,44300,44080.18,0.00158409
1632405600,44037.6,45000,44300,44037.62,0.00430022
1632405660,44028.43,45000,44037.6,44031.88,0.00271303
1632405720,44020.89,45000,44031.86,44024.41,0.00271339
1632405780,43000,45000,44024.39,43000,0.07073657
1632405840,44047.2,45000,45000,44047.22,0.00067546
1632405900,44045.33,44048,44047.2,44045.35,0.00136093
1632405960,44045.33,44073.03,44045.33,44073.01,0.00881415
1632406020,44051.12,45000,45000,44051.12,0.00135602
1632406080,44115.44,45000,45000,44115.44,0.00361662
1632406140,44152.36,45000,45000,44152.36,0.00135342
1632406200,44166.2,45000,45000,44166.2,0.00135307
1632406320,44176.3,44176.32,44176.3,44176.32,0.00045231
1632406380,44151.71,45000,44176.3,44151.71,0.00429251
1632406440,43894,44290,43894,44290,0.00323177
1632406560,44067.6,44290,44290,44089.55,0.00271714
1632406620,44082.95,44290,44089.53,44082.95,0.00203877
1632406680,44290,44290,44290,44290,0.00292932
1632406740,44129.72,44290,44290,44129.72,0.0056198
1632406800,44096.18,44290,44290,44096.2,0.00203615
1632406860,44084.98,44290,44096.18,44290,0.00226397
1632406920,44290,44290,44290,44290,0.00022533
1632406980,44184.23,44290,44184.23,44234.57,0.25632699
1632407040,44172.16,44290,44234.55,44172.16,0.50203425
1632407100,44290,48897,44290,48897,0.21872671
1632407160,44190.02,48936.89,48936.89,44190.04,0.53871441
1632407220,44165.38,56160,44190.02,44165.4,0.42916615
1632407280,44165.38,44165.4,44165.4,44165.38,0.25090481
1632407520,47596.43,47596.43,47596.43,47596.43,0.01
1632407820,56160,56160,56160,56160,0.11913872
1632407880,52000,60000,58320,54500,0.38129104
1632407940,47595,56160,56160,47595,0.01106645
1632408120,45000,45000,45000,45000,0.00022222
1632408180,47596.43,47596.43,47596.43,47596.43,0.01
1632408420,47595,56160,56160,47595,0.01035548
1632408780,47596.43,47596.43,47596.43,47596.43,0.01
1632409020,47595,56160,56160,47595,0.00038784
1632409080,47595,58860,56160,56160,0.25822778
1632409140,56160,56160,56160,56160,0.12563807
1632409200,52000,60000,58860,52000,0.25397616
1632409200,52000,60000,58860,52000,0.25397616
1632409260,55000,60000,55000,55000,0.00718466
1632409320,47595,56160,56160,47595,0.01191254
1632409620,44161.93,45000,45000,44161.93,0.03800192
1632409680,44154.6,44154.6,44154.6,44154.6,0.00226024
1632409740,44110.28,44154.6,44154.6,44110.28,0.00135875
1632409800,44000,44091.19,44091.19,44000,0.00326764
1632409980,44133.78,44153.4,44153.4,44133.78,0.00135815
1632410040,44134.95,44154.6,44153.4,44154.6,0.01966997
